timestamp, balance
2026-08-17T00:56:24.271267+00:00,90.562458
2026-08-17T00:57:25.577095+00:00,90.575703
2026-08-17T00:58:49.656413+00:00,90.67364
2026-08-17T00:59:50.939275+00:00,90.63545
2026-08-17T01:00:52.168918+00:00,90.686378
2026-08-17T01:01:53.461750+00:00,90.903451
2026-08-17T01:02:54.688643+00:00,90.907521
2026-08-17T01:03:55.935055+00:00,91.011119
2026-08-17T01:04:57.227531+00:00,91.051411
2026-08-17T01:05:58.681912+00:00,91.051622
2026-08-17T01:06:59.909471+00:00,91.092254
2026-08-17T01:08:01.482544+00:00,91.076223
2026-08-17T01:09:02.806962+00:00,91.050679
2026-08-17T01:10:04.167452+00:00,91.006788
2026-08-17T01:11:05.471583+00:00,90.984073
2026-08-17T01:12:06.663034+00:00,90.930411
2026-08-17T01:13:08.278426+00:00,90.946227
2026-08-17T01:14:09.562739+00:00,90.992732
2026-08-17T01:15:10.866239+00:00,90.932082
2026-08-17T01:16:12.101306+00:00,90.988099
2026-08-17T01:17:13.332806+00:00,91.010133
2026-08-17T01:18:14.570507+00:00,91.03212
2026-08-17T01:19:15.787137+00:00,91.040369
2026-08-17T01:20:17.145951+00:00,91.02811
2026-08-17T01:21:18.521388+00:00,91.068636
2026-08-17T01:22:19.722077+00:00,91.057793
2026-08-17T01:23:20.946173+00:00,91.092853
2026-08-17T01:24:22.300656+00:00,91.139272
2026-08-17T01:25:23.587769+00:00,91.167731
2026-08-17T01:26:24.856096+00:00,91.184662
2026-08-17T01:27:26.077249+00:00,91.173346
2026-08-17T01:28:27.302824+00:00,91.174289
2026-08-17T01:29:28.556682+00:00,91.143342
2026-08-17T01:30:29.865170+00:00,91.24154
2026-08-17T01:31:31.512654+00:00,91.321778
2026-08-17T01:32:32.769896+00:00,91.268503
2026-08-17T01:33:34.200785+00:00,91.244243
2026-08-17T01:34:35.765043+00:00,91.268718
2026-08-17T01:35:37.078957+00:00,91.267708
2026-08-17T01:36:38.516439+00:00,91.222471
2026-08-17T01:37:39.828316+00:00,91.221355
2026-08-17T01:38:41.069731+00:00,91.23109
2026-08-17T01:39:42.366554+00:00,91.250463
2026-08-17T01:40:43.670596+00:00,91.274614
2026-08-17T01:41:44.913062+00:00,91.253544
2026-08-17T01:42:46.161381+00:00,91.222256
2026-08-17T01:43:47.515897+00:00,91.217498
2026-08-17T01:44:48.693080+00:00,91.182094
2026-08-17T01:45:49.988833+00:00,91.165421
2026-08-17T01:46:51.210444+00:00,91.112745
2026-08-17T01:47:52.426986+00:00,91.128561
2026-08-17T01:48:53.762419+00:00,91.148149
2026-08-17T01:49:55.039569+00:00,91.196047
2026-08-17T01:50:56.389152+00:00,91.114846
2026-08-17T01:51:57.750252+00:00,91.06534
2026-08-17T01:52:59.182871+00:00,91.054967
2026-08-17T01:54:00.403525+00:00,91.048624
2026-08-17T01:55:01.628054+00:00,90.990121
2026-08-17T01:56:03.335651+00:00,90.995071
2026-08-17T01:57:04.764113+00:00,90.987934
2026-08-17T01:58:06.037514+00:00,90.954439
2026-08-17T01:59:07.504594+00:00,90.960418
2026-08-17T02:00:08.896450+00:00,90.972589
2026-08-17T02:01:10.405041+00:00,90.970061
2026-08-17T02:02:11.675728+00:00,90.933416
2026-08-17T02:03:12.996172+00:00,90.909758
2026-08-17T02:04:14.265717+00:00,90.856056
2026-08-17T02:05:15.552739+00:00,90.840005
2026-08-17T02:06:17.013392+00:00,90.867157
2026-08-17T02:07:18.359462+00:00,90.864457
2026-08-17T02:08:19.576956+00:00,90.851556
2026-08-17T02:09:20.889437+00:00,90.857684
2026-08-17T02:10:22.417115+00:00,90.861714
2026-08-17T02:11:23.656652+00:00,90.906806
2026-08-17T02:12:25.043654+00:00,90.909142
2026-08-17T02:13:26.291742+00:00,90.88739
2026-08-17T02:14:27.583583+00:00,90.89909
2026-08-17T02:15:28.923612+00:00,90.89999
2026-08-17T02:16:30.447826+00:00,90.911376
2026-08-17T02:17:31.702156+00:00,90.833263
2026-08-17T02:18:33.002763+00:00,90.82586
2026-08-17T02:19:34.268983+00:00,90.816837
2026-08-17T02:20:35.479009+00:00,90.834066
2026-08-17T02:21:36.903386+00:00,90.844952
2026-08-17T02:22:38.285662+00:00,90.852496
2026-08-17T02:23:39.600987+00:00,90.86947
2026-08-17T02:24:41.048877+00:00,90.819408
2026-08-17T02:25:42.281186+00:00,90.856847
2026-08-17T02:26:43.522474+00:00,90.925961
2026-08-17T02:27:44.765827+00:00,90.934961
2026-08-17T02:28:46.089678+00:00,90.919505
2026-08-17T02:29:47.378773+00:00,90.923238
2026-08-17T02:30:48.636733+00:00,90.878897
2026-08-17T02:31:50.053920+00:00,90.851252
2026-08-17T02:32:51.242519+00:00,90.959132
2026-08-17T02:33:52.487465+00:00,91.036498
2026-08-17T02:34:53.877512+00:00,91.101648
2026-08-17T02:35:55.138806+00:00,91.135252
2026-08-17T02:36:56.540068+00:00,91.158162
2026-08-17T02:37:57.813288+00:00,91.104262
2026-08-17T02:38:59.101823+00:00,91.087162
2026-08-17T02:40:00.304423+00:00,91.091063
2026-08-17T02:41:01.626986+00:00,91.108636
2026-08-17T02:42:02.947539+00:00,91.209402
2026-08-17T02:43:04.248449+00:00,91.154754
2026-08-17T02:44:05.454100+00:00,91.14181
2026-08-17T02:45:06.775080+00:00,91.10405
2026-08-17T02:46:07.982277+00:00,91.099206
2026-08-17T02:47:09.362726+00:00,91.132916
2026-08-17T02:48:10.614300+00:00,91.14764
2026-08-17T02:49:11.963382+00:00,91.199843
2026-08-17T02:50:13.275778+00:00,91.214693
2026-08-17T02:51:14.748307+00:00,91.226072
2026-08-17T02:52:16.067169+00:00,91.334382
2026-08-17T02:53:17.327849+00:00,91.389629
2026-08-17T02:54:18.553547+00:00,91.378826
2026-08-17T02:55:19.914277+00:00,91.273775
2026-08-17T02:56:21.189726+00:00,91.270688
2026-08-17T02:57:22.486433+00:00,91.254273
2026-08-17T02:58:23.813575+00:00,91.2475
2026-08-17T02:59:25.194824+00:00,91.253115
2026-08-17T03:00:26.738854+00:00,91.264398
2026-08-17T03:01:28.010369+00:00,91.241359
2026-08-17T03:02:29.284178+00:00,91.223766
2026-08-17T03:03:30.556174+00:00,91.239602
2026-08-17T03:04:31.796493+00:00,91.245472
2026-08-17T03:05:33.074703+00:00,91.241657
2026-08-17T03:06:34.413545+00:00,91.238914
2026-08-17T03:07:35.746267+00:00,91.277402
2026-08-17T03:08:37.069270+00:00,91.261288
2026-08-17T03:09:38.474719+00:00,91.264117
2026-08-17T03:10:39.802137+00:00,91.263127
2026-08-17T03:11:40.994060+00:00,91.241617
2026-08-17T03:12:42.229600+00:00,91.221685
2026-08-17T03:13:43.511474+00:00,91.219627
2026-08-17T03:14:44.784416+00:00,91.261417
2026-08-17T03:15:46.227490+00:00,91.27674
2026-08-17T03:16:47.477804+00:00,91.236644
2026-08-17T03:17:48.785853+00:00,91.295282
2026-08-17T03:18:50.251754+00:00,91.261979
2026-08-17T03:19:51.551868+00:00,91.266866
2026-08-17T03:20:52.811031+00:00,91.253836
2026-08-17T03:21:54.072000+00:00,91.138578
2026-08-17T03:22:55.345817+00:00,91.149163
2026-08-17T03:23:56.704020+00:00,91.133562
2026-08-17T03:24:57.960364+00:00,91.131762
2026-08-17T03:25:59.315152+00:00,91.107201
2026-08-17T03:27:00.642765+00:00,91.107201
2026-08-17T03:28:01.975407+00:00,91.106751
2026-08-17T03:29:03.258168+00:00,91.140077
2026-08-17T03:30:04.538986+00:00,91.146678
2026-08-17T03:31:06.195963+00:00,91.148521
2026-08-17T03:32:07.474654+00:00,91.148521
2026-08-17T03:33:08.739893+00:00,91.164595
2026-08-17T03:34:10.004228+00:00,91.165495
2026-08-17T03:35:11.285876+00:00,91.162623
2026-08-17T03:36:12.641029+00:00,91.160052
2026-08-17T03:37:13.951566+00:00,91.175097
2026-08-17T03:38:15.242318+00:00,91.17154
2026-08-17T03:39:16.529531+00:00,91.191297
2026-08-17T03:40:17.766893+00:00,91.16618
2026-08-17T03:41:19.080959+00:00,91.177152
2026-08-17T03:42:20.467722+00:00,91.192217
2026-08-17T03:43:21.711238+00:00,91.197875
2026-08-17T03:44:22.968454+00:00,91.201796
2026-08-17T03:45:24.145323+00:00,91.193908
2026-08-17T03:46:25.357872+00:00,91.198365
2026-08-17T03:47:26.840150+00:00,91.196479
2026-08-17T03:48:28.090743+00:00,91.208222
2026-08-17T03:49:29.453883+00:00,91.214479
2026-08-17T03:50:30.726067+00:00,91.216541
2026-08-17T03:51:32.088748+00:00,91.227724
2026-08-17T03:52:33.270097+00:00,91.230725
2026-08-17T03:53:34.533882+00:00,91.274268
2026-08-17T03:54:35.816104+00:00,91.286778
2026-08-17T03:55:37.058802+00:00,91.312161
2026-08-17T03:56:38.619149+00:00,91.356823
2026-08-17T03:57:39.921583+00:00,91.300375
2026-08-17T03:58:41.134768+00:00,91.303333
2026-08-17T03:59:42.566655+00:00,91.302605
2026-08-17T04:00:44.039422+00:00,91.320706
2026-08-17T04:01:45.790690+00:00,91.359581
2026-08-17T04:02:47.170292+00:00,91.353281
2026-08-17T04:03:48.397068+00:00,91.340486
2026-08-17T04:04:49.610254+00:00,91.339543
2026-08-17T04:05:50.905351+00:00,91.336436
2026-08-17T04:06:52.240293+00:00,91.334722
2026-08-17T04:07:53.870901+00:00,91.350753
2026-08-17T04:08:55.272697+00:00,91.349853
2026-08-17T04:09:56.552247+00:00,91.337723
2026-08-17T04:10:57.944167+00:00,91.336909
2026-08-17T04:11:59.230863+00:00,91.365219
2026-08-17T04:13:00.437369+00:00,91.366452
2026-08-17T04:14:02.162734+00:00,91.359581
2026-08-17T04:15:03.625489+00:00,91.358638
2026-08-17T04:16:04.966439+00:00,91.359796
2026-08-17T04:17:06.289733+00:00,91.343639
2026-08-17T04:18:07.706336+00:00,91.31518
2026-08-17T04:19:08.962442+00:00,91.317923
2026-08-17T04:20:10.434669+00:00,91.315051
2026-08-17T04:21:11.947355+00:00,91.322701
2026-08-17T04:22:13.635292+00:00,91.366377
2026-08-17T04:23:14.875107+00:00,91.392351
2026-08-17T04:24:16.198980+00:00,91.389651
2026-08-17T04:25:17.543690+00:00,91.347188
2026-08-17T04:26:18.947437+00:00,91.322897
2026-08-17T04:27:20.372169+00:00,91.306647
2026-08-17T04:28:21.628436+00:00,91.29906
2026-08-17T04:29:23.224782+00:00,91.294603
2026-08-17T04:30:24.501814+00:00,91.308447
2026-08-17T04:31:26.528473+00:00,91.311961
2026-08-17T04:32:27.807361+00:00,91.308404
2026-08-17T04:33:29.248665+00:00,91.308361
2026-08-17T04:34:30.640739+00:00,91.308361
2026-08-17T04:35:31.899078+00:00,91.303556
2026-08-17T04:36:33.223365+00:00,91.329918
2026-08-17T04:37:34.730856+00:00,91.306088
2026-08-17T04:38:36.310044+00:00,91.305188
2026-08-17T04:39:37.645126+00:00,91.328118
2026-08-17T04:40:39.004990+00:00,91.348907
2026-08-17T04:41:40.528172+00:00,91.392451
2026-08-17T04:42:41.942143+00:00,91.391551
2026-08-17T04:43:43.590741+00:00,91.384488
2026-08-17T04:44:44.957305+00:00,91.352813
2026-08-17T04:45:46.514368+00:00,91.370398
2026-08-17T04:46:47.821559+00:00,91.382548
2026-08-17T04:47:49.201656+00:00,91.384211
2026-08-17T04:48:50.632068+00:00,91.430469
2026-08-17T04:49:52.098763+00:00,91.410024
2026-08-17T04:50:53.546157+00:00,91.410517
2026-08-17T04:51:54.819634+00:00,91.40698
2026-08-17T04:52:56.270341+00:00,91.402993
2026-08-17T04:53:57.725691+00:00,91.3189
2026-08-17T04:54:59.084701+00:00,91.329915
2026-08-17T04:56:00.427107+00:00,91.369862
2026-08-17T04:57:01.788551+00:00,91.407493
2026-08-17T04:58:03.108930+00:00,91.404621
2026-08-17T04:59:04.415670+00:00,91.412592
2026-08-17T05:00:05.776679+00:00,91.422462
2026-08-17T05:01:07.639850+00:00,91.436948
2026-08-17T05:02:09.021628+00:00,91.441096
2026-08-17T05:03:10.581029+00:00,91.461122
2026-08-17T05:04:12.167041+00:00,91.453237
2026-08-17T05:05:13.530373+00:00,91.388689
2026-08-17T05:06:14.940921+00:00,91.396147
2026-08-17T05:07:16.304811+00:00,91.379173
2026-08-17T05:08:17.640750+00:00,91.37013
2026-08-17T05:09:18.938591+00:00,91.363658
2026-08-17T05:10:20.206984+00:00,91.35573
2026-08-17T05:11:21.571986+00:00,91.32967
2026-08-17T05:12:22.838470+00:00,91.321246
2026-08-17T05:13:24.161097+00:00,91.367341
2026-08-17T05:14:25.644602+00:00,91.419352
2026-08-17T05:15:27.004290+00:00,91.424388
2026-08-17T05:16:28.554428+00:00,91.454988
2026-08-17T05:17:30.241319+00:00,91.471876
2026-08-17T05:18:31.769610+00:00,91.481983
2026-08-17T05:19:33.126849+00:00,91.487993
2026-08-17T05:20:34.609915+00:00,91.490008
2026-08-17T05:21:36.052846+00:00,91.491295
2026-08-17T05:22:37.412099+00:00,91.46905
2026-08-17T05:23:38.779452+00:00,91.469007
2026-08-17T05:24:40.141951+00:00,91.459107
2026-08-17T05:25:41.407665+00:00,91.388173
2026-08-17T05:26:43.868589+00:00,91.375315
2026-08-17T05:27:45.272255+00:00,91.378273
2026-08-17T05:28:46.768721+00:00,91.350413
2026-08-17T05:29:48.213301+00:00,91.35397
2026-08-17T05:30:49.651447+00:00,91.334124
2026-08-17T05:31:51.000317+00:00,91.333353
2026-08-17T05:32:52.348414+00:00,91.333396
2026-08-17T05:33:53.734653+00:00,91.329538
2026-08-17T05:34:55.205438+00:00,91.321481
2026-08-17T05:35:56.584652+00:00,91.306694
2026-08-17T05:36:57.948717+00:00,91.293664
2026-08-17T05:37:59.353107+00:00,91.284191
2026-08-17T05:39:00.996314+00:00,91.274334
2026-08-17T05:40:02.545601+00:00,91.265933
2026-08-17T05:41:04.079349+00:00,91.280978
2026-08-17T05:42:05.706631+00:00,91.286808
2026-08-17T05:43:07.120856+00:00,91.282308
2026-08-17T05:44:08.495646+00:00,91.282523
2026-08-17T05:45:09.841145+00:00,91.295166
2026-08-17T05:46:11.269388+00:00,91.300566
2026-08-17T05:47:12.595715+00:00,91.294673
2026-08-17T05:48:14.011436+00:00,91.287066
2026-08-17T05:49:15.539384+00:00,91.289766
2026-08-17T05:50:16.969554+00:00,91.298316
2026-08-17T05:51:18.820325+00:00,91.298316
2026-08-17T05:52:20.270919+00:00,91.345188
2026-08-17T05:53:21.690851+00:00,91.329157
2026-08-17T05:54:23.315604+00:00,91.333207
2026-08-17T05:55:24.910477+00:00,91.332217
2026-08-17T05:56:26.416721+00:00,91.339808
2026-08-17T05:57:27.902885+00:00,91.330378
2026-08-17T05:58:29.504438+00:00,91.311667
2026-08-17T05:59:31.020780+00:00,91.311166
2026-08-17T06:00:32.417695+00:00,91.322193
2026-08-17T06:01:33.964303+00:00,91.353352
2026-08-17T06:02:35.349065+00:00,91.287517
2026-08-17T06:03:36.835555+00:00,91.322107
2026-08-17T06:04:38.593974+00:00,91.332351
2026-08-17T06:05:39.977519+00:00,91.350311
2026-08-17T06:06:41.344424+00:00,91.363314
2026-08-17T06:07:42.833111+00:00,91.379541
2026-08-17T06:08:44.241932+00:00,91.394758
2026-08-17T06:09:45.735935+00:00,91.381814
2026-08-17T06:10:46.984513+00:00,91.397888
2026-08-17T06:11:48.686456+00:00,91.391158
2026-08-17T06:12:50.145925+00:00,91.389401
2026-08-17T06:13:51.527735+00:00,91.391416
2026-08-17T06:14:53.004154+00:00,91.421503
2026-08-17T06:15:54.558841+00:00,91.399728
2026-08-17T06:16:56.221781+00:00,91.398828
2026-08-17T06:17:57.878053+00:00,91.447864
2026-08-17T06:18:59.225134+00:00,91.447695
2026-08-17T06:20:00.688324+00:00,91.464755
2026-08-17T06:21:02.128126+00:00,91.470284
2026-08-17T06:22:03.883486+00:00,91.476885
2026-08-17T06:23:05.479581+00:00,91.517477
2026-08-17T06:24:06.798952+00:00,91.522513
2026-08-17T06:25:08.446777+00:00,91.389926
2026-08-17T06:26:10.021348+00:00,91.392364
2026-08-17T06:27:11.525423+00:00,91.392098
2026-08-17T06:28:13.012447+00:00,91.404099
2026-08-17T06:29:14.855375+00:00,91.403841
2026-08-17T06:30:16.149523+00:00,91.393941
2026-08-17T06:31:18.008130+00:00,91.415329
2026-08-17T06:32:19.497469+00:00,91.418545
2026-08-17T06:33:20.977350+00:00,91.418545
2026-08-17T06:34:22.640526+00:00,91.403758
2026-08-17T06:35:24.033263+00:00,91.434748
2026-08-17T06:36:25.382196+00:00,91.435777
2026-08-17T06:37:26.987603+00:00,91.435221
2026-08-17T06:38:28.370245+00:00,91.457853
2026-08-17T06:39:29.902611+00:00,91.463468
2026-08-17T06:40:31.374803+00:00,91.478212
2026-08-17T06:41:32.782238+00:00,91.480611
2026-08-17T06:42:34.229997+00:00,91.49199
2026-08-17T06:43:35.576357+00:00,91.496255
2026-08-17T06:44:37.067534+00:00,91.51355
2026-08-17T06:45:38.455228+00:00,91.552617
